id,name,image,keyword_one,keyword_two,keyword_three,price,brand,description
13,"microsoft mouse feugiat",../images/products/black-mouse.png,"10, 000 dpi","Tracking sensor",Wireless,13,microsoft,"Quisque dapibus sollicitudin mi quis fermentum. Sed facilisis ex lectus, quis aliquet magna sodales in. Suspendisse potenti. Pellentesque purus arcu, luctus ullamcorper mauris tincidunt, imperdiet varius est. Etiam viverra sapien mi, id accumsan nisi rhoncus placerat. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Nullam non facilisis justo. Sed hendrerit mauris ut tristique porta."
14,"asus mouse purus",../images/products/razer-mouse.png,"Tracking sensor",Wireless,"10, 000 dpi",14,asus,"Nunc nec elementum sapien, non laoreet urna. Vestibulum eu pretium nunc, ut fermentum enim. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce id porta sem. Donec pretium mauris ut augue congue molestie. Nulla pharetra dolor quis mauris maximus, in lacinia ipsum rhoncus."
15,"steelseries mouse nec",../images/products/msi-mouse.png,"10, 000 dpi",Wireless,"Tracking sensor",15,steelseries,"Nullam orci velit, rutrum lacinia lobortis sed, iaculis sed nisl. Sed ac lorem in ante ultricies congue. Proin risus enim, pellentesque non velit vitae, mattis lacinia metus. Nullam et nisl eu sapien fringilla commodo et at diam. Pellentesque ac urna vitae magna euismod aliquet. Vivamus luctus eu nibh eget efficitur."
16,"hyperx mouse viverra",../images/products/mouse-triangle.jpg,Wireless,"Tracking sensor","10, 000 dpi",16,hyperx,"Maecenas facilisis massa tellus, congue convallis felis suscipit et. Nunc venenatis odio nulla, eget porttitor mi feugiat at. Maecenas at magna in libero scelerisque hendrerit ut eu diam. In a fermentum turpis. Nullam egestas vestibulum risus scelerisque consequat. Etiam volutpat eleifend lectus ac sagittis. Proin ligula sapien, lacinia non lectus a, sollicitudin tempus dui. Mauris eget porttitor nibh."
17,"razer mouse nisi",../images/products/razer-mouse.png,"10, 000 dpi",Wireless,"Tracking sensor",17,razer,"Aenean vel convallis nisl, ut viverra velit. Aenean fringilla odio mauris, id imperdiet velit tempus et. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Sed nec leo non erat facilisis tincidunt et vel nulla. Maecenas tincidunt, ligula eget consequat auctor, sem ligula lobortis nulla, nec eleifend mi dui sit amet nunc."
18,"razer mouse integer",../images/products/black-mouse.png,"Tracking sensor",Wireless,"10, 000 dpi",18,razer,"Vivamus at tortor efficitur, vehicula sem id, mattis diam. Ut porttitor cursus efficitur. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Nunc cursus velit quis consequat vestibulum. Phasellus ligula eros, fermentum vitae nisi a, sodales blandit nibh. Maecenas consequat nisi nibh, sed hendrerit risus varius et. Nam feugiat mattis turpis, id pulvinar eros laoreet sed."
19,"logitech mouse Enim",../images/products/msi-mouse.png,"Tracking sensor","10, 000 dpi",Wireless,19,logitech,"Curabitur ut lobortis turpis. Nunc odio nisl, pharetra nec dictum volutpat, rhoncus quis nulla. Mauris in neque auctor, facilisis eros quis, finibus mi. Aliquam gravida fringilla lorem ut facilisis. Etiam lacinia leo eu aliquet molestie. Aenean sagittis justo eget odio tempus, quis tempus nisi vehicula. Praesent aliquet id augue vel vestibulum."
20,"steelseries mouse Felis",../images/products/rgb-mouse.png,"Tracking sensor","10, 000 dpi",Wireless,20,steelseries,"Pellentesque et quam sagittis, sollicitudin dui tincidunt, suscipit justo. Nunc pellentesque elementum suscipit. Donec neque massa, tincidunt vitae mauris vel, faucibus consequat orci. Proin commodo vulputate facilisis. Vivamus et suscipit erat, id efficitur nibh. Vestibulum bibendum tincidunt sem fermentum tincidunt."
21,"asus mouse finibus",../images/products/mouse-triangle.jpg,"10, 000 dpi","Tracking sensor",Wireless,21,asus,"Sed fermentum vehicula diam, quis auctor lectus mattis sed. Aliquam dictum, sapien ut malesuada egestas, sem risus venenatis turpis, at dictum urna arcu vitae orci. In nec orci quis massa iaculis vulputate. Sed pellentesque molestie quam in convallis. Nulla vestibulum nec quam a convallis. Praesent pharetra mi nunc, ut vulputate diam convallis eu. Phasellus commodo, lectus at consequat dictum, nibh neque congue ipsum, eget suscipit ipsum enim non ligula. "
22,"apple mouse ac",../images/products/razer-mouse.png,"10, 000 dpi",Wireless,"Tracking sensor",22,apple,"Vestibulum malesuada augue ac cursus pulvinar. Maecenas placerat nibh enim, et posuere ex consectetur non. Nullam vel porta eros. Aliquam at sollicitudin velit, vel vestibulum augue. Maecenas non leo laoreet, fringilla nulla hendrerit, condimentum quam. Phasellus a tincidunt sapien. Sed imperdiet augue eget nibh dignissim, ultricies tincidunt massa auctor. Donec sit amet tortor in libero condimentum rhoncus a vel diam. Cras facilisis sodales tortor eget ultricies."
23,"hyperx mouse vel",../images/products/mouse-triangle.jpg,Wireless,"10, 000 dpi","Tracking sensor",23,hyperx,"Curabitur id mattis nibh, et tristique est. Integer sed suscipit libero, quis pellentesque magna. Nullam feugiat sit amet sapien in vestibulum. Nam non eros in turpis tempus porttitor et accumsan purus. Nam malesuada augue non lectus dapibus placerat a in lorem. Aenean dapibus suscipit urna et pharetra."
24,"apple mouse sodales",../images/products/black-mouse.png,"10, 000 dpi",Wireless,"Tracking sensor",24,apple,"Aliquam eget diam porta, viverra justo eu, malesuada tellus. Suspendisse potenti. Ut condimentum ullamcorper odio, id laoreet risus lacinia a. Cras et ullamcorper metus. Suspendisse non mauris vitae sapien mattis pretium. In ut sem pellentesque, aliquam nunc nec, condimentum augue. Aenean erat augue, consectetur congue magna quis, posuere ultricies tellus."
25,"razer mouse bidenium",../images/products/black-mouse.png,"Tracking sensor","10, 000 dpi",Wireless,25,razer,"In vitae mattis libero. Mauris eleifend tristique purus iaculis rutrum. Pellentesque sodales nisi gravida tristique egestas. Duis tincidunt odio sed quam scelerisque interdum. Nunc mollis risus vel velit mollis volutpat sed in lacus. Vivamus iaculis metus ut rhoncus vehicula. Integer scelerisque ipsum in auctor aliquam. "
26,"steelseries keyboard Sem",../images/products/corsair-keyboard.png,Wireless,"3 year garantee","Red switch",26,steelseries,"Etiam vestibulum ac turpis sed varius. Praesent vehicula hendrerit erat, et rhoncus nisi euismod in. Donec lacinia eget elit et pellentesque. Duis et erat felis. Nunc luctus enim id risus dapibus, eu interdum ante fringilla. Nunc congue facilisis massa, a auctor elit consectetur at. Donec tempor massa erat, pharetra gravida ipsum pharetra id."
27,"microsoft keyboard Class",../images/products/hyperx-keyboard.png,"3 year garantee",Wireless,"Red switch",27,microsoft,"Sed justo metus, finibus et convallis quis, efficitur a dui. Nullam scelerisque mattis odio, id commodo ex condimentum vitae. Nulla facilisi. Aliquam erat volutpat. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Sed id ullamcorper arcu. Proin nec mollis tellus, sit amet egestas tortor."
28,"asus keyboard Aptent",../images/products/green-keyboard.png,"3 year garantee",Wireless,"Red switch",28,asus,"Nam at neque fermentum, varius dui at, porttitor sem. Nam ac sapien sed ipsum sodales dignissim in eu nisi. Praesent eget enim dui. Etiam quam justo, euismod ut interdum non, consequat id eros. Suspendisse vel mauris nisl. Aliquam erat volutpat. Praesent purus metus, scelerisque sed mi efficitur, commodo viverra libero. Nulla lorem magna, blandit ac ipsum et, imperdiet eleifend neque. Phasellus tempor euismod ex, et scelerisque nulla dictum non."
29,"apple keyboard Taciti",../images/products/keyboard-red.jpg,Wireless,"3 year garantee","Red switch",29,apple,"Donec eu ipsum at mi commodo semper elementum eget orci. Nullam eu accumsan ante. Phasellus semper congue massa, ultrices mattis lectus laoreet placerat. Nam tempus sodales ligula, vitae tincidunt neque rutrum sit amet. Etiam bibendum sit amet elit sollicitudin sagittis. Curabitur mauris ante, blandit quis varius a, pretium sed felis."
30,"hyperx keyboard Sociosqu",../images/products/budget-keyboard.png,"Red switch",Wireless,"3 year garantee",30,hyperx,"Aenean fringilla quis augue eget tristique. Curabitur maximus ultricies congue. Fusce hendrerit tincidunt elementum. Nullam quam enim, faucibus sed vehicula ut, dignissim non est. Pellentesque sollicitudin sodales ipsum, at congue felis cursus quis. Sed convallis vestibulum augue sed ultricies. Morbi sit amet cursus sem, sed congue neque."
31,"steelseries keyboard ad",../images/products/hyperx-keyboard.png,"3 year garantee","Red switch",Wireless,31,steelseries,"Suspendisse nec nisi eros. Sed congue velit non scelerisque venenatis. Suspendisse consectetur consectetur felis a congue. Praesent condimentum sed erat vel iaculis. Proin non ante arcu. Suspendisse ac libero ut eros viverra sollicitudin nec eu risus. Vestibulum convallis id quam in scelerisque. Nulla eu orci ut justo ultricies suscipit. In in egestas turpis. Vestibulum imperdiet dignissim dictum. Integer quis cursus ante. Quisque mollis pretium turpis non accumsan."
32,"razer keyboard litora",../images/products/msi-keyboard.png,"Red switch",Wireless,"3 year garantee",32,razer,"Mauris mollis sollicitudin diam, et feugiat libero dignissim in. Integer eget blandit sem. Curabitur et porta neque. Nulla facilisi. Nullam velit quam, sagittis id vulputate sit amet, tempor nec purus. Aliquam rhoncus enim sit amet gravida molestie. Quisque ut tristique odio. Donec a elit sed diam interdum fringilla. Aliquam porttitor pellentesque tincidunt. Cras maximus augue nulla, a feugiat lacus rhoncus non"
33,"logitech keyboard Torquent",../images/products/budget-keyboard.png,"3 year garantee",Wireless,"Red switch",33,logitech,"Integer consequat purus non nibh cursus pellentesque. Integer pretium in tellus eget porta. Mauris interdum finibus elit, nec molestie nibh mollis non. Sed et fringilla lectus, vitae imperdiet enim. Sed a semper lacus. Morbi cursus arcu nec eros pellentesque dignissim. Quisque sit amet pulvinar est."
34,"microsoft keyboard Bar",../images/products/green-keyboard.png,Wireless,"Red switch","3 year garantee",34,microsoft,"Nulla facilisi. Morbi egestas ante ut nibh tristique, tempus euismod ante sollicitudin. Fusce convallis semper sapien quis venenatis. Maecenas non hendrerit ex, sed tincidunt ligula. Nam egestas quis ipsum non convallis. Curabitur vel mattis elit. Curabitur consectetur ipsum in lacus vehicula maximus."
35,"asus keyboard Conubia",../images/products/corsair-keyboard.png,"3 year garantee",Wireless,"Red switch",35,asus,"Suspendisse sed dolor ut ligula finibus eleifend. Nulla sapien nunc, auctor a lectus nec, tincidunt viverra urna. Phasellus facilisis, purus sit amet faucibus convallis, dui velit consequat arcu, ut lobortis est eros nec lacus. Etiam ac nibh interdum, rutrum tellus sit amet, convallis sapien. Cras pretium, arcu nec iaculis ultrices, ex ipsum hendrerit odio, eu placerat nibh lectus eget ipsum. Vivamus rhoncus mi non feugiat consectetur."
36,"hyperx keyboard Nostra",../images/products/budget-keyboard.png,Wireless,"3 year garantee","Red switch",36,hyperx,"Fusce interdum urna velit. Integer non sodales quam, eu lacinia mi. Sed malesuada ligula est, et varius sapien maximus ac. Aenean arcu mauris, efficitur id congue viverra, blandit a quam. Proin finibus arcu ut rhoncus scelerisque. Praesent sit amet eros non elit maximus efficitur. Integer dictum volutpat tincidunt. Nulla vitae semper nunc."
37,"apple keyboard Per",../images/products/msi-keyboard.png,Wireless,"3 year garantee","Red switch",37,apple,"Sed sagittis, neque eu laoreet porttitor, ex leo fermentum diam, sed faucibus mi quam aliquam purus. Aenean mollis sollicitudin luctus. Praesent nec est sit amet velit pellentesque ullamcorper. Sed laoreet placerat turpis. Praesent nec odio vel eros egestas egestas. Sed nec vehicula justo. Fusce sed posuere risus, a condimentum odio. Nulla quis scelerisque arcu."
38,"razer keyboard Inceptos",../images/products/hyperx-keyboard.png,"3 year garantee","Red switch",Wireless,38,razer,"Nullam ullamcorper massa viverra, egestas justo eget, tempus augue. Donec nec neque tincidunt, mattis augue vitae, ullamcorper nisl. Suspendisse elementum, dui vitae interdum lobortis, enim ipsum imperdiet augue, sed pellentesque nibh lacus malesuada elit. Morbi non velit quis diam auctor tincidunt vitae sit amet urna. Cras non nisi ac sem hendrerit pellentesque sit amet commodo eros."
39,"logitech keyboard suspendisse",../images/products/keyboard-wood.jpg,"Red switch","3 year garantee",Wireless,39,logitech,"Suspendisse potenti. Nulla facilisis eros odio, id convallis libero dapibus ac. Vivamus in sem fringilla, molestie turpis et, scelerisque lacus. Donec ac eros ut ante dictum gravida. Cras blandit leo nec diam sollicitudin, eget egestas risus molestie. Suspendisse potenti. Donec molestie lectus nec tempus accumsan. In vulputate elit ut tellus suscipit, eget varius neque feugiat. Nullam quis ante blandit, sodales augue nec, facilisis dui."
40,"microsoft headset Ipsum",../images/products/tt-headset.png,Wireless,"Noise cancelling","Dolby audio",40,microsoft,"Etiam non tortor egestas, auctor ex et, accumsan magna. Suspendisse potenti. Praesent tempus tempus eros nec blandit. Aenean a ante sapien. Vestibulum velit ex, eleifend ut nulla ut, volutpat hendrerit odio. Integer laoreet mi ante, non lacinia felis tincidunt in. In hac habitasse platea dictumst. Curabitur non blandit sapien. Praesent blandit erat porttitor enim aliquam vestibulum."
41,"asus headset Tellus",../images/products/steelseries-headset.webp,"Dolby audio",Wireless,"Noise cancelling",41,asus,"Integer nisl lectus, elementum accumsan fermentum quis, sodales fringilla est. Proin porta dui at est viverra, sed mollis lorem sodales. Mauris tincidunt, mauris id ornare lobortis, ex nibh condimentum urna, a sollicitudin metus ipsum a lectus. Maecenas at fringilla dui, id dapibus felis. Integer sagittis enim vitae convallis hendrerit."
42,"hyperx headset Nec",../images/products/headset-beats.jpg,"Dolby audio","Noise cancelling",Wireless,42,hyperx,"Nunc tincidunt posuere lorem nec vulputate. Nam ultricies sagittis euismod. Nulla facilisi. Proin vitae lorem vel ante sagittis iaculis quis at ex. Nunc porttitor urna lectus, a fringilla tellus tempor sit amet. Aliquam suscipit volutpat suscipit. Cras et purus molestie, congue neque id, cursus erat. Maecenas ac lectus eget leo fermentum dictum ut a quam."
43,"apple headset Vulputate",../images/products/logitech-headset.png,"Noise cancelling",Wireless,"Dolby audio",43,apple,"Vivamus laoreet lacus nec rhoncus semper. Suspendisse non pulvinar massa. Nunc gravida lectus ut mi suscipit tempor id vel lacus. Aliquam eleifend lectus sit amet ligula mollis, ac feugiat erat sagittis. Sed eget lorem vel risus tincidunt aliquam. Duis nec tortor at ante aliquet sodales. Morbi cursus efficitur ornare. Donec quis fermentum leo, id mollis nibh. Maecenas erat felis, congue nec magna ac, volutpat venenatis enim. Morbi a risus imperdiet, luctus velit ac, vehicula enim"
44,"steelseries headset Enim",../images/products/headset-beats.jpg,Wireless,"Noise cancelling","Dolby audio",44,steelseries,"Mauris a nunc sed tellus maximus viverra sit amet et nibh. Interdum et malesuada fames ac ante ipsum primis in faucibus. Suspendisse luctus suscipit orci, pellentesque sodales nibh rutrum at. Mauris finibus quis odio eu efficitur. Ut laoreet, lacus in mollis pretium, lorem velit viverra ipsum, et consectetur lorem elit ac velit. Fusce hendrerit neque dolor."
45,"logitech headset Quisque",../images/products/steelseries-headset.webp,"Dolby audio",Wireless,"Noise cancelling",45,logitech,"Vestibulum pellentesque odio in venenatis molestie. Curabitur quis nisi leo. Pellentesque quis rutrum tellus. Aliquam erat volutpat. Donec rutrum ex nec velit tincidunt, quis blandit ante auctor. Ut imperdiet ultrices dui quis dictum. Etiam quis eros nec orci tempor fermentum. Nam tristique, ex nec elementum pellentesque, ex odio blandit nulla, id egestas augue sem a nisi."
46,"microsoft headset luctus",../images/products/headset-yellow.jpg,"Noise cancelling","Dolby audio",Wireless,46,microsoft,"Aenean commodo egestas sem, nec ultrices odio egestas sed. Quisque tempor dictum porttitor. Quisque ultrices at est nec lobortis. Phasellus ut vestibulum felis, ac tincidunt turpis. Phasellus at leo sit amet mauris pretium dapibus at vel arcu. Ut et dolor ut dolor laoreet hendrerit sed in ex. Aliquam pretium neque eget mi eleifend condimentum."
47,"asus headset laculis ",../images/products/tt-headset.png,"Noise cancelling","Dolby audio",Wireless,47,asus,"Nunc dictum, orci ut venenatis volutpat, justo orci ultrices quam, a suscipit justo tortor ac risus. Phasellus et enim varius, vestibulum velit eget, sollicitudin urna. Morbi odio diam, vulputate id dui pellentesque, imperdiet semper nulla. Maecenas fringilla odio et cursus consectetur. Aenean lacinia dui quis vestibulum hendrerit."
48,"hyperx headset sapien",../images/products/steelseries-headset.webp,"Dolby audio",Wireless,"Noise cancelling",48,hyperx,"Praesent eu erat egestas, aliquet sem eget, cursus erat. Pellentesque posuere tincidunt erat. Etiam a neque euismod, vehicula eros in, auctor justo. Morbi bibendum felis sed metus efficitur tincidunt. Etiam eget sollicitudin nulla. Pellentesque porttitor massa vel mauris posuere aliquam. Nullam accumsan magna in feugiat iaculis."
49,"apple headset Et",../images/products/logitech-headset.png,"Noise cancelling",Wireless,"Dolby audio",49,apple,"Fusce sit amet felis arcu. Donec congue velit mauris, nec gravida massa lacinia eu. Etiam finibus ex tellus, sit amet dignissim velit congue dapibus. Donec luctus tortor id auctor aliquam. Suspendisse lacinia quis eros sed pretium. In hac habitasse platea dictumst. Quisque dictum finibus neque, in pulvinar velit vestibulum sit amet. Quisque sollicitudin suscipit arcu ut venenatis. Sed rutrum interdum lorem, nec cursus risus. Fusce vehicula faucibus tortor."
50,"razer headset Rutrum",../images/products/steelseries-headset.webp,Wireless,"Noise cancelling","Dolby audio",50,razer,"Pellentesque rhoncus nisl eget ullamcorper auctor. Phasellus urna justo, feugiat quis risus quis, pharetra dignissim lectus. Ut ultricies elementum ex feugiat commodo. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Pellentesque sodales pulvinar vulputate. Quisque tristique sollicitudin odio non bibendum."
51,"steelseries headset suspendisse",../images/products/headset-beats.jpg,Wireless,"Noise cancelling","Dolby audio",51,steelseries,"Donec massa neque, sagittis vitae hendrerit in, porta quis arcu. Aenean cursus cursus nulla eu ultrices. Proin pellentesque nisl at bibendum sagittis. Morbi et malesuada nibh. Fusce nibh mauris, blandit eu congue nec, sodales sed lectus. Curabitur ac mi placerat, interdum turpis a, scelerisque quam."
52,"microsoft headset Venenatis",../images/products/steelseries-headset.webp,"Noise cancelling",Wireless,"Dolby audio",52,microsoft,"Mauris a nunc sed tellus maximus viverra sit amet et nibh. Interdum et malesuada fames ac ante ipsum primis in faucibus. Suspendisse luctus suscipit orci, pellentesque sodales nibh rutrum at. Mauris finibus quis odio eu efficitur. Ut laoreet, lacus in mollis pretium, lorem velit viverra ipsum, et consectetur lorem elit ac velit."
53,"asus headset Nisl",../images/products/logitech-headset.png,"Noise cancelling","Dolby audio",Wireless,53,asus,"Vivamus laoreet lacus nec rhoncus semper. Suspendisse non pulvinar massa. Nunc gravida lectus ut mi suscipit tempor id vel lacus. Aliquam eleifend lectus sit amet ligula mollis, ac feugiat erat sagittis. Sed eget lorem vel risus tincidunt aliquam. Duis nec tortor at ante aliquet sodales. Morbi cursus efficitur ornare."
54,"hyperx headset Vitae",../images/products/steelseries-headset.webp,"Dolby audio",Wireless,"Noise cancelling",54,hyperx,"Cras ut magna volutpat, luctus odio et, sodales justo. Cras enim leo, laoreet eget urna nec, semper lacinia diam. Praesent rutrum finibus arcu bibendum pretium. Mauris quis urna nec mauris ultricies tempor. Praesent auctor tempus dui sed fringilla. Nulla tincidunt risus non fringilla consectetur."
55,"razer headset Ligula",../images/products/tt-headset.png,Wireless,"Dolby audio","Noise cancelling",55,razer,"Morbi sollicitudin sapien neque, sit amet rutrum libero blandit ultricies. Mauris mollis lorem elit. Proin volutpat egestas ex non aliquam. Vestibulum semper, erat et feugiat lacinia, turpis urna mollis lectus, eget consectetur ligula urna non diam. Vivamus quis posuere orci. Nam vulputate tempus felis, quis fringilla est hendrerit vitae."
56,"razer headset Rhoncus",../images/products/tt-headset.png,"Dolby audio",Wireless,"Noise cancelling",56,razer,"Etiam egestas tincidunt varius. Donec sed sodales quam. Nullam eget nisl nec mi semper volutpat. Sed pellentesque pharetra risus. Suspendisse pellentesque felis vel dolor consectetur, sodales efficitur leo malesuada. In hac habitasse platea dictumst. Curabitur dapibus libero non ultricies tincidunt."
57,"logitech laptop consectetur",../images/products/asus-laptop.png,"12 hours battery","4k display","Ultra HD",57,logitech,"Morbi vel sapien neque. Phasellus vel erat non dolor varius dapibus. In euismod suscipit volutpat. Proin lacinia eu leo sed cursus. Ut viverra rutrum metus, aliquam mollis dolor dignissim imperdiet. Donec sollicitudin augue ut tincidunt suscipit. Quisque at diam augue. Praesent vulputate erat id ex vehicula, in vehicula massa egestas."
58,"microsoft laptop Adipiscing",../images/products/budget-laptop.png,"4k display","12 hours battery","Ultra HD",58,microsoft,"Sed condimentum, tortor eu aliquam accumsan, ipsum massa lacinia metus, vel imperdiet neque risus ornare dolor. Proin dignissim suscipit fringilla. Fusce pharetra metus ac ipsum tempus congue. Mauris id sagittis lectus. Curabitur velit eros, ultricies sit amet laoreet id, sodales vel arcu. Nullam euismod sagittis orci, nec porta odio condimentum sed."
59,"asus laptop elit",../images/products/nvidia-laptop.png,"Ultra HD","4k display","12 hours battery",59,asus,"Aenean commodo egestas sem, nec ultrices odio egestas sed. Quisque tempor dictum porttitor. Quisque ultrices at est nec lobortis. Phasellus ut vestibulum felis, ac tincidunt turpis. Phasellus at leo sit amet mauris pretium dapibus at vel arcu. Ut et dolor ut dolor laoreet hendrerit sed in ex."
60,"hyperx laptop Morbi",../images/products/rog-laptop.png,"Ultra HD","12 hours battery","4k display",60,hyperx,"Donec massa neque, sagittis vitae hendrerit in, porta quis arcu. Aenean cursus cursus nulla eu ultrices. Proin pellentesque nisl at bibendum sagittis. Morbi et malesuada nibh. Fusce nibh mauris, blandit eu congue nec, sodales sed lectus. Curabitur ac mi placerat, interdum turpis a, scelerisque quam. Morbi suscipit viverra lectus at feugiat. Etiam id velit interdum risus viverra viverra vestibulum dapibus purus. Donec nunc erat, consequat vitae metus eget, vestibulum eleifend neque."
61,"apple laptop Non",../images/products/laptop-plant.jpg,"12 hours battery","4k display","Ultra HD",61,apple,"Praesent dictum gravida risus, eu molestie nisi. Integer ut justo at elit placerat ullamcorper. Sed vel maximus augue. Praesent id malesuada neque, vitae dapibus nisi. Aenean sed erat in massa dapibus ornare. Phasellus pellentesque non nibh nec blandit. Donec sodales enim vel enim pretium, vehicula molestie arcu suscipit."
